Study ID,Title,Citation,Study Type,Sampling Method,Study Population,Case Definition,Date Start,Date End,Study Context,Outbreak Description,Notes,Entry ID,Entry Description,Country ISO3 Code,GADM Admin 0,"GADM Admin 1, when available","GADM Admin 2, when available","GADM Admin 3, when available",Precise Place Name,Urban or Rural,Location Description,Care Seeking Questions,Multiple Choices,Regarding self or child,Recall time (in days),Facility or location sought as written in transcript,Type of care facility sought (standardized),N surveyed if they WOULD seek care,N who said they WOULD seek care,N surveyed if they DID seek care,N who actually DID seek care,Additional Information,Age lower (of individual with diarrhea in years),Age Upper (of individual with diarrhea in years),Proportion of individuals with diarrhea <5 years old,Sex (of individual with diarrhea),Diarrhea severity,Diarrhea symptoms,Nutrition Status,Overlapping Study,Percents converted to numbers,Comments,Extractor Initials,Status,Primary dataset,Stratified time,Stratified geographic location,Stratified urban rural,Stratified age,Stratified sex,Stratified severity,Overlaps checked,Overlaps decision,Is the data internally consistent?
1,"Demographic Attributes of Knowledge, Attitude, Practices, and One Health Perspective Regarding Diarrhea in Pakistan.",doi.org/10.3389/fpubh.2021.731272,Survey,Simple random,"University students living in urban and rural populations of Rawalpindi and Islamabad, Pakistan",,07/01/2020,12/31/2020,,No outbreak description,"Dates are approximate, Sampling from July to December 2020",1_a,if they would seek care,PAK,"Pakistan, Pakistan","Islamabad, Punjab","Islamabad, Rawalpindi","Islamabad, Rawalpind",,Urban,"universities of the twin cities: the capital Islamabad and Rawalpindi. The terrain consists of plains and mountains in the metropolitan area of Islamabad and Rawalpindi, whose total area exceeds 1,175 m.","Will you visit the doctor if you are having diarrhea (attitude; would seek care)
Do you visit the doctor immediately after encountering diarrhea (behavior; did they seek care)",,Self,,Doctor,Hospital/Clinic,338,286,,,"""may be"" answers were assigned a ""no"" value",,45,0,,,,,,,,DJC,Complete,1,0,0,0,0,0,0,,,
1,"Demographic Attributes of Knowledge, Attitude, Practices, and One Health Perspective Regarding Diarrhea in Pakistan.",doi.org/10.3389/fpubh.2021.731272,Survey,Simple random,"University students living in urban and rural populations of Rawalpindi and Islamabad, Pakistan",,07/01/2020,12/31/2020,,No outbreak description,"Dates are approximate, Sampling from July to December 2020",1_b,if they did seek care,PAK,"Pakistan, Pakistan","Islamabad, Punjab","Islamabad, Rawalpindi","Islamabad, Rawalpind",,Urban,"universities of the twin cities: the capital Islamabad and Rawalpindi. The terrain consists of plains and mountains in the metropolitan area of Islamabad and Rawalpindi, whose total area exceeds 1,175 m.","Will you visit the doctor if you are having diarrhea (attitude; would seek care)
Do you visit the doctor immediately after encountering diarrhea (behavior; did they seek care)",,Self,,Doctor,Hospital/Clinic,,,338,317,"""may be"" answers were assigned a ""no"" value",,45,0,,,,,,,,DJC,Complete,1,0,0,0,0,0,0,,,
2,Prevalence of diarrheal illness and healthcare-seeking behavior by age-group and sex among the population of Gaza strip: a community-based cross-sectional study,doi.org/10.1186/s12889-019-7070-2,Survey,Cluster,Heads of households in the Gaza Strip,"passage of three or more abnormally loose, watery, or liquid stools over a 24-h period",08/01/2017,06/28/2018,,No outbreak description,,2_a,urban or rural,PSE,Palestine,Gaza,,,,Urban,Urban area is defined as a region with high population density and infrastructure of built environment,Did you seek professional healthcare for diarrhea,,Other (describe in notes),2,Professional Health Provider,Hospital/Clinic,,,421,91,Questions are about the household; not specific to one patient,1,67,0.49,,,,,,,,DJC,Complete,1,0,0,0,0,0,0,,,
2,Prevalence of diarrheal illness and healthcare-seeking behavior by age-group and sex among the population of Gaza strip: a community-based cross-sectional study,doi.org/10.1186/s12889-019-7070-2,Survey,Cluster,Heads of households in the Gaza Strip,"passage of three or more abnormally loose, watery, or liquid stools over a 24-h period",08/01/2017,06/28/2018,,No outbreak description,,2_a,urban or rural,PSE,Palestine,Gaza,,,,Urban,Urban area is defined as a region with high population density and infrastructure of built environment,Did you seek professional healthcare for diarrhea,,Other (describe in notes),2,Non-professional health provider,Non-Hospital/Clinic,,,421,108,Questions are about the household; not specific to one patient,1,67,0.49,,,,,,,,DJC,Complete,1,0,0,0,0,0,0,,,
2,Prevalence of diarrheal illness and healthcare-seeking behavior by age-group and sex among the population of Gaza strip: a community-based cross-sectional study,doi.org/10.1186/s12889-019-7070-2,Survey,Cluster,Heads of households in the Gaza Strip,"passage of three or more abnormally loose, watery, or liquid stools over a 24-h period",08/01/2017,06/28/2018,,No outbreak description,,2_b,urban or rural,PSE,Palestine,Gaza,,,,Rural,Rural is defined as a region of low population density and small settlements,Did you seek professional healthcare for diarrhea,,Other (describe in notes),2,Professional Health Provider,Hospital/Clinic,,,421,96,Questions are about the household; not specific to one patient,1,67,0.49,,,,,,,,DJC,Complete,1,0,0,0,0,0,0,,,
2,Prevalence of diarrheal illness and healthcare-seeking behavior by age-group and sex among the population of Gaza strip: a community-based cross-sectional study,doi.org/10.1186/s12889-019-7070-2,Survey,Cluster,Heads of households in the Gaza Strip,"passage of three or more abnormally loose, watery, or liquid stools over a 24-h period",08/01/2017,06/28/2018,,No outbreak description,,2_b,urban or rural,PSE,Palestine,Gaza,,,,Rural,Rural is defined as a region of low population density and small settlements,Did you seek professional healthcare for diarrhea,,Other (describe in notes),2,Non-professional health provider,Non-Hospital/Clinic,,,421,125,Questions are about the household; not specific to one patient,1,67,0.49,,,,,,,,DJC,Complete,1,0,0,0,0,0,0,,,
3,"Diarrhea Prevention Practice and Associated Factors among Caregivers of Under-Five Children in Enemay District, Northwest Ethiopia",10.1155/2019/5490716,Survey,Simple random,all caregivers of under-five children in the selected kebeles,,06/01/2018,06/30/2018,,No outbreak description,,3_a,All data,ETH,Ethiopia,Amhara,Misraq Gojjam,Enemay,,Rural,,type of diarrhea treatment sought,,Child,,Health Facility,Hospital/Clinic,,,116,36,,,4,1,,,,,,,Rural description determined by Central Statistical Agency (CSA) data from 2007 table 2.1  ,DJC,Complete,1,0,0,0,0,0,0,,,
3,"Diarrhea Prevention Practice and Associated Factors among Caregivers of Under-Five Children in Enemay District, Northwest Ethiopia",10.1155/2019/5490717,Survey,Simple random,all caregivers of under-five children in the selected kebeles,,06/01/2018,06/30/2018,,No outbreak description,,3_a,All data,ETH,Ethiopia,Amhara,Misraq Gojjam,Enemay,,Rural,,type of diarrhea treatment sought,,Child,,Traditional Healer,Traditional Healer,,,116,10,,,4,1,,,,,,,Rural description determined by Central Statistical Agency (CSA) data from 2007 table 2.1  ,DJC,Complete,1,0,0,0,0,0,0,,,
4,"Incidence of Acute Diarrhea-Associated Death among Children < 5 Years of Age in Bangladesh, 2010–12",10.4269/ajtmh.17-0384,Survey,Other (describe in notes),children <5 years that died due to diarrhea,"acute diarrhea-associated death as deaths among children who experienced sudden onset of loose, watery stools for three or more times in 24 hours for at least 2 days within 14 days of death and who died in the same illness episode",05/01/2010,04/30/2012,,No outbreak description,"Social network approach
Dates are approximate - deaths that occured from May 2010-April 2012",4_a,All data,BGD,Bangladesh,,,,,Both,Across the total country; based off the catchment areas of 20 study unions,What is the highest level of treatent sought for diarrhea,,Child,14,Unqualified doctor or pharmacy,Non-Hospital/Clinic,,,36,11,,,4,1,,Death,,,,,,DJC,Complete,1,0,0,0,0,0,0,,,
4,"Incidence of Acute Diarrhea-Associated Death among Children < 5 Years of Age in Bangladesh, 2010–12",10.4269/ajtmh.17-0384,Survey,Other (describe in notes),children <5 years that died due to diarrhea,"acute diarrhea-associated death as deaths among children who experienced sudden onset of loose, watery stools for three or more times in 24 hours for at least 2 days within 14 days of death and who died in the same illness episode",05/01/2010,04/30/2012,,No outbreak description,"Social network approach
Dates are approximate - deaths that occured from May 2010-April 2012",4_a,All data,BGD,Bangladesh,,,,,Both,Across the total country; based off the catchment areas of 20 study unions,What is the highest level of treatent sought for diarrhea,,Child,14,Hospitalization,Hospital/Clinic,,,36,22,,,4,1,,Death,,,,,,DJC,Complete,1,0,0,0,0,0,0,,,
